,RFID,Weight,Date,Location,cattle_id
1,982 123724743222,265.47,17-11-20,Kraatz,5dcc94d6803d000085003120
2,982 123724743222,266.07,20-11-20,Kraatz,5dcc94d6803d000085003120
3,982 123724743222,293.69,23-11-20,Kraatz,5dcc94d6803d000085003120
4,982 123724743222,222.75,02-12-20,Kraatz,5dcc94d6803d000085003120
5,982 123724743222,284.12,06-12-20,Kraatz,5dcc94d6803d000085003120
6,982 123724743222,286.95,05-12-20,Kraatz,5dcc94d6803d000085003120
7,982 123724743222,555.44,07-12-20,Kraatz,5dcc94d6803d000085003120
8,982 123724743222,594.26,07-12-20,Kraatz,5dcc94d6803d000085003120
9,982 123724743222,601.57,07-12-20,Kraatz,5dcc94d6803d000085003120
10,982 123724743222,474.93,07-12-20,Kraatz,5dcc94d6803d000085003120
11,982 123724743222,267.63,09-12-20,Kraatz,5dcc94d6803d000085003120
12,982 123724743222,279.87,09-12-20,Kraatz,5dcc94d6803d000085003120
13,982 123724743222,281.48,11-12-20,Kraatz,5dcc94d6803d000085003120
14,982 123724743222,278.9,12-12-20,Kraatz,5dcc94d6803d000085003120
15,982 123724743222,290.28,12-12-20,Kraatz,5dcc94d6803d000085003120
16,982 123724743222,135.47,12-12-20,Kraatz,5dcc94d6803d000085003120
17,982 123724743222,269.38,14-12-20,Kraatz,5dcc94d6803d000085003120
18,982 123724743222,258.75,15-12-20,Kraatz,5dcc94d6803d000085003120
19,982 123724743222,233.53,16-12-20,Kraatz,5dcc94d6803d000085003120
20,982 123724743222,263.44,17-12-20,Kraatz,5dcc94d6803d000085003120
21,982 123724743222,259.68,18-12-20,Kraatz,5dcc94d6803d000085003120
22,982 123724743222,262.64,19-12-20,Kraatz,5dcc94d6803d000085003120
23,982 123724743222,262.45,19-12-20,Kraatz,5dcc94d6803d000085003120
24,982 123724743222,270.68,19-12-20,Kraatz,5dcc94d6803d000085003120
25,982 123724743222,257.2,20-12-20,Kraatz,5dcc94d6803d000085003120
26,982 123724743222,128.6,20-12-20,Kraatz,5dcc94d6803d000085003120
27,982 123724743222,136.77,20-12-20,Kraatz,5dcc94d6803d000085003120
28,982 123724743222,136.2,20-12-20,Kraatz,5dcc94d6803d000085003120
29,982 123724743222,265.66,21-12-20,Kraatz,5dcc94d6803d000085003120
30,982 123724743222,268.34,21-12-20,Kraatz,5dcc94d6803d000085003120
31,982 123724743222,0,22-12-20,Kraatz,5dcc94d6803d000085003120
32,982 123724743222,262.83,23-12-20,Kraatz,5dcc94d6803d000085003120
33,982 123724743222,292.68,23-12-20,Kraatz,5dcc94d6803d000085003120
34,982 123724743222,309.99,23-12-20,Kraatz,5dcc94d6803d000085003120
35,982 123724743222,177.38,23-12-20,Kraatz,5dcc94d6803d000085003120
36,982 123724743222,279.06,24-12-20,Kraatz,5dcc94d6803d000085003120
37,982 123724743222,162.03,24-12-20,Kraatz,5dcc94d6803d000085003120
38,982 123724743222,453.07,25-12-20,Kraatz,5dcc94d6803d000085003120
39,982 123724743222,272.23,25-12-20,Kraatz,5dcc94d6803d000085003120
40,982 123724743222,274.7,25-12-20,Kraatz,5dcc94d6803d000085003120
41,982 123724743222,487.32,26-12-20,Kraatz,5dcc94d6803d000085003120
42,982 123724743222,266.26,27-12-20,Kraatz,5dcc94d6803d000085003120
43,982 123724743222,266.43,27-12-20,Kraatz,5dcc94d6803d000085003120
44,982 123724743222,270.21,28-12-20,Kraatz,5dcc94d6803d000085003120
45,982 123724743222,276.08,28-12-20,Kraatz,5dcc94d6803d000085003120
46,982 123724743222,276.08,28-12-20,Kraatz,5dcc94d6803d000085003120
47,982 123724743222,240.78,29-12-20,Kraatz,5dcc94d6803d000085003120
48,982 123724743222,294.04,31-12-20,Kraatz,5dcc94d6803d000085003120
49,982 123724743222,396.05,01-01-21,Kraatz,5dcc94d6803d000085003120
50,982 123724743222,368.19,01-01-21,Kraatz,5dcc94d6803d000085003120
51,982 123724743222,411.39,01-01-21,Kraatz,5dcc94d6803d000085003120
52,982 123724743222,245.19,02-01-21,Kraatz,5dcc94d6803d000085003120
53,982 123724743222,161.04,02-01-21,Kraatz,5dcc94d6803d000085003120
54,982 123724743222,359.93,02-01-21,Kraatz,5dcc94d6803d000085003120
55,982 123724743222,233.38,02-01-21,Kraatz,5dcc94d6803d000085003120
56,982 123724743222,346.92,02-01-21,Kraatz,5dcc94d6803d000085003120
57,982 123724743222,264.21,03-01-21,Kraatz,5dcc94d6803d000085003120
58,982 123724743222,257.64,03-01-21,Kraatz,5dcc94d6803d000085003120
